claim_number;age_of_driver;gender;marital_status;safty_rating;annual_income;high_education_ind;address_change_ind;living_status;zip_code;claim_date;claim_day_of_week;accident_site;past_num_of_claims;witness_present_ind;liab_prct;channel;policy_report_filed_ind;claim_est_payout;age_of_vehicle;vehicle_category;vehicle_price;vehicle_color;vehicle_weight;fraud
32;40;M;0.0;76;36876;0;0;Rent;15024;10/25/2015;Sunday;Parking Lot;0;0.0;28;Online;0;1.538.279.552;6.0;Medium;2.622.583.063;silver;2.134.775.102;0
34;70;M;1.0;90;42499;1;0;Rent;80101;4/24/2015;Friday;Local;0;1.0;59;Broker;0;34.119.432.450.000.000;8.0;Large;2.299.625.703;other;2.484.225.389;0
35;24;M;0.0;80;31796;0;1;Rent;50038;4/14/2016;Thursday;Parking Lot;2;0.0;34;Online;1;5.037.605.111;7.0;Compact;9.224.079.753;gray;543.310.653;1
36;32;M;1.0;82;34674;1;1;Rent;85040;3/27/2016;Sunday;Highway;0;1.0;1;Broker;1;9.507.865.265.999.990;2.0;Compact;1.949.352.905;red;8.507.918.045;0
37;50;M;0.0;85;39119;1;0;Rent;80110;08/03/2016;Wednesday;Parking Lot;0;1.0;2;Phone;1;1.644.576.186;8.0;Compact;38.604.018.169.999.900;white;1.802.300.599;0
39;44;M;1.0;85;37855;1;1;Own;20141;5/31/2015;Sunday;Parking Lot;0;0.0;27;Online;1;4.308.093.194;2.0;Compact;1.256.274.575;black;2.207.624.297;0
40;37;F;1.0;65;36117;1;1;Own;15001;8/19/2016;Friday;Highway;0;0.0;17;Phone;0;5.854.332.086;6.0;Medium;20.679.530.609.999.900;blue;1.676.227.489;0
42;52;F;1.0;68;39512;1;1;Rent;20111;01/09/2016;Saturday;Highway;0;1.0;50;Phone;0;5.801.718.463;3.0;Medium;32.411.116.680.000.000;black;43.143.736.730.000.000;0
43;56;M;1.0;67;40259;1;0;Rent;80021;11/04/2015;Wednesday;Local;0;0.0;79;Phone;0;6.035.780.111;2.0;Large;23.285.862.569.999.900;white;51.321.032.380.000.000;0
49;32;M;0.0;89;34654;1;1;Own;80030;2/13/2015;Friday;Local;0;0.0;0;Phone;1;74.325.432.519.999.900;6.0;Compact;2.328.372.654;white;1.877.023.633;0
50;40;F;1.0;84;36893;1;1;Own;50054;05/12/2015;Tuesday;Local;0;0.0;31;Broker;1;773.219.714;3.0;Medium;1.054.661.343;red;1.330.989.239;0
53;52;F;0.0;84;39496;0;1;Own;80013;4/23/2016;Saturday;Parking Lot;0;0.0;60;Broker;0;5.919.395.308;8.0;Medium;4.047.174.613;silver;2.461.792.855;0
54;50;M;1.0;90;39129;0;0;Own;85028;8/15/2015;Saturday;Highway;5;0.0;54;Phone;1;4.491.348.462;3.0;Medium;1.181.691.717;white;2.710.969.521;0
56;58;F;1.0;84;40599;1;0;Own;85064;8/13/2015;Thursday;Local;0;1.0;77;Phone;1;2.513.927.533;6.0;Compact;36.977.978.760.000.000;blue;1.399.838.666;0
58;62;M;1.0;82;41269;1;0;Own;80015;9/25/2016;Sunday;Parking Lot;1;0.0;78;Phone;1;2.067.590.252;5.0;Large;2.913.511.188;other;7.881.247.872;0
59;47;M;0.0;69;38508;0;0;Own;20143;09/02/2016;Friday;Parking Lot;1;0.0;0;Phone;1;4.587.728.674;5.0;Compact;1.455.028.805;silver;3.540.381.217;1
61;22;M;0.0;49;30902;1;0;Rent;80021;4/16/2016;Saturday;Highway;1;0.0;68;Online;1;7.982.336.026.999.990;5.0;Compact;1.437.321.383;blue;9.739.231.253;1
63;47;M;1.0;79;38483;0;0;Rent;50036;4/20/2016;Wednesday;Local;0;0.0;62;Broker;0;59.359.705.460.000.000;3.0;Compact;1.690.814.613;gray;1.856.419.126;1
64;26;M;0.0;93;32591;1;1;Rent;50047;02/09/2016;Tuesday;Highway;0;1.0;67;Online;1;7.661.866.723;7.0;Compact;1.437.227.717;blue;390.028.018;1
66;38;M;0.0;63;36387;1;1;Own;15053;04/07/2016;Thursday;Highway;0;0.0;83;Phone;1;1.875.688.845;3.0;Compact;3.126.140.239;black;12.837.764.879.999.900;1
67;63;M;1.0;93;41428;1;1;Own;85067;08/02/2015;Sunday;Local;0;0.0;84;Phone;1;3.992.977.667;4.0;Compact;74.580.891.090.000.000;other;1.271.339.417;0
68;35;M;1.0;63;35551;1;0;Rent;50047;11/13/2015;Friday;Parking Lot;3;0.0;97;Broker;1;5.242.562.288;4.0;Large;4.083.912.416;gray;2.054.275.429;0
69;41;F;1.0;81;37119;1;1;Own;85031;09/10/2016;Saturday;Parking Lot;0;0.0;98;Phone;0;1.107.449.993;5.0;Medium;4.191.615.961;silver;6.002.257.867;0
71;30;M;1.0;72;34025;0;1;Rent;50047;07/11/2015;Saturday;Local;0;0.0;49;Phone;0;5.900.507.621;10.0;Large;2.506.980.315;red;6.791.073.297;1
73;50;F;1.0;90;39117;1;1;Rent;85079;12/07/2016;Wednesday;Highway;1;0.0;0;Broker;0;58.693.417;4.0;Medium;2.421.161.531;silver;2.825.069.734;0
74;35;F;0.0;86;35561;1;1;Own;20132;3/24/2016;Thursday;Local;0;1.0;64;Broker;1;4.391.006.072;2.0;Medium;16.064.606.730.000.000;other;6.696.948.989;0
76;42;F;1.0;37;37368;1;1;Own;15009;4/24/2015;Friday;Local;0;0.0;97;Broker;1;2.286.855.815;9.0;Medium;3.878.252.542;other;1.773.265.318;0
77;69;F;1.0;68;42336;1;1;Rent;80024;09/12/2016;Monday;Local;1;1.0;37;Broker;1;2.555.179.947;1.0;Large;2.144.280.756;gray;2.570.584.281;0
78;28;M;0.0;85;33327;0;1;Own;15021;08/07/2015;Friday;Parking Lot;0;0.0;36;Online;1;19.657.530.809.999.900;10.0;Medium;2.457.368.055;red;1.393.050.033;0
80;30;F;1.0;79;33993;0;1;Rent;20165;08/12/2016;Friday;Local;0;0.0;1;Broker;1;2.220.849.033;5.0;Compact;2.506.375.455;black;2.614.948.866;0
81;69;M;0.0;70;42352;0;0;Rent;15060;01/01/2016;Friday;Parking Lot;0;0.0;99;Broker;0;19.125.222.399.999.900;9.0;Large;2.667.972.093;other;5.636.813.285;0
83;41;M;0.0;33;37140;1;1;Own;15018;08/04/2016;Thursday;Parking Lot;5;0.0;5;Phone;1;5.233.961.701;2.0;Compact;2.744.088.412;silver;26.447.089.659.999.900;0
85;24;F;1.0;80;31767;1;1;Rent;80010;12/18/2016;Sunday;Parking Lot;2;0.0;66;Online;1;4.703.710.172;6.0;Medium;33.478.126.169.999.900;white;3.021.407.359;1
89;72;F;1.0;82;42785;0;1;Rent;85029;1/27/2016;Wednesday;Parking Lot;0;1.0;42;Broker;1;8.682.020.795.999.990;3.0;Medium;2.003.374.414;red;27.290.016.539.999.900;0
90;48;M;1.0;53;38712;0;1;Rent;20165;02/01/2015;Sunday;Local;0;0.0;83;Broker;1;2.711.993.143;6.0;Medium;26.247.034.490.000.000;gray;2.432.041.749;0
91;31;M;0.0;78;34326;1;1;Own;50021;12/26/2015;Saturday;Parking Lot;0;0.0;76;Phone;1;19.864.370.379.999.900;5.0;Compact;3.913.115.578;black;4.465.808.904;0
92;31;M;1.0;83;34347;1;0;Own;15010;3/31/2015;Tuesday;Local;0;0.0;11;Broker;0;7.431.434.426.000.000;4.0;Medium;13.544.558;black;3.666.784.401;0
93;48;M;1.0;51;38701;1;1;Rent;15010;2/14/2016;Sunday;Local;0;0.0;83;Phone;0;7.283.061.425;3.0;Large;1.012.575.246;gray;306.847.314;0
94;39;M;1.0;54;36644;1;1;Own;85074;02/02/2015;Monday;Parking Lot;0;0.0;40;Online;1;41.656.795.950.000.000;5.0;Large;10.621.073.059.999.900;red;2.384.399.708;0
95;78;M;1.0;61;43577;1;1;Rent;15010;10/08/2016;Saturday;Local;0;0.0;25;Phone;1;39.083.009.909.999.900;6.0;Medium;28.643.049.730.000.000;white;3.155.473.932;1
96;38;M;1.0;76;36374;1;0;Own;80020;8/23/2015;Sunday;Local;4;1.0;40;Phone;1;35.945.218.659.999.900;3.0;Medium;251.629.564;red;343.633.759;0
98;58;F;1.0;56;40616;1;1;Rent;85028;01/06/2015;Tuesday;Highway;0;1.0;99;Broker;0;1.346.603.764;3.0;Compact;10.154.585.309.999.900;blue;2.401.354.195;1
99;59;F;1.0;79;40777;1;1;Rent;50007;5/14/2015;Thursday;Local;2;1.0;93;Broker;1;8.969.794.924;7.0;Large;32.607.403.469.999.900;black;20.880.751.790.000.000;0
100;33;F;1.0;31;34958;1;0;Rent;20130;3/30/2015;Monday;Local;3;0.0;48;Phone;1;9.148.765.275;3.0;Large;1.311.867.565;blue;15.129.074.880.000.000;0
102;31;M;0.0;78;34341;1;0;Own;80106;05/12/2016;Thursday;Local;0;0.0;93;Phone;0;3.244.330.615;6.0;Compact;2.093.684.243;other;2.465.622.334;0
104;31;F;0.0;94;34327;0;0;Rent;85038;10/02/2015;Friday;Parking Lot;2;0.0;2;Phone;1;1.899.797.609;5.0;Compact;2.126.231.249;white;31.277.050.330.000.000;0
108;71;F;1.0;65;42609;0;0;Own;85054;01/08/2015;Thursday;Parking Lot;0;0.0;77;Phone;0;6.133.930.265.999.990;7.0;Medium;10.728.609.690.000.000;red;1.090.152.408;0
109;22;F;1.0;83;30897;1;1;Own;50049;1/16/2016;Saturday;Parking Lot;0;0.0;0;Online;1;5.801.370.911;10.0;Compact;2.155.460.851;other;1.080.311.824;0
110;66;F;0.0;87;41890;1;0;Own;85060;03/02/2015;Monday;Local;0;1.0;0;Broker;1;2.687.473.644;5.0;Medium;1.353.682.481;silver;1.740.079.619;0
111;133;M;1.0;60;48905;1;1;Own;15014;8/26/2015;Wednesday;Local;0;0.0;22;Broker;1;5.922.919.482;7.0;Medium;76.269.469.420.000.000;blue;2.465.977.971;0
114;41;M;1.0;81;37141;0;1;Own;50035;12/18/2016;Sunday;Highway;0;0.0;4;Broker;1;3.844.360.693;2.0;Medium;16.156.218.719.999.900;white;6.556.531.900.999.990;0
115;32;M;1.0;97;34675;1;1;Own;50047;1/26/2016;Tuesday;Parking Lot;0;1.0;69;Phone;1;2.474.503.079;5.0;Large;1.631.357.841;black;1.568.661.188;0
116;55;M;1.0;81;40081;1;1;Rent;15003;2/27/2016;Saturday;Highway;1;1.0;7;Online;1;2.022.314.343;4.0;Large;1.314.736.133;silver;205.201.333;0
119;33;F;1.0;76;34958;1;0;Rent;85072;12/18/2016;Sunday;Highway;0;0.0;61;Phone;0;5.364.163.592;4.0;Compact;1.347.944.598;black;1.408.499.804;0
120;55;M;1.0;81;40069;1;1;Rent;20129;7/15/2016;Friday;Local;0;0.0;10;Broker;1;17.950.330.239.999.900;9.0;Compact;4.015.910.143;silver;15.756.305.180.000.000;0
121;44;M;1.0;49;37855;1;1;Own;20111;8/21/2015;Friday;Local;1;1.0;39;Online;1;4.117.140.947.999.990;6.0;Compact;19.840.707.430.000.000;blue;25.392.340.519.999.900;0
126;66;F;1.0;71;41906;1;0;Own;50012;2/18/2015;Wednesday;Local;0;0.0;7;Broker;0;3.352.695.861;3.0;Compact;352.036.731;red;4.060.693.982;0
127;60;M;0.0;85;40934;0;1;Own;85027;8/27/2016;Saturday;Parking Lot;1;0.0;7;Phone;0;3.249.175.753;4.0;Compact;8.299.373.302;gray;3.618.135.706;0
129;41;F;1.0;66;37140;1;1;Rent;20104;2/27/2016;Saturday;Parking Lot;2;0.0;92;Broker;1;66.273.228.340.000.000;1.0;Compact;6.812.920.755;white;4.788.084.964;1
130;35;M;1.0;81;35546;1;0;Own;85036;02/07/2016;Sunday;Parking Lot;0;0.0;46;Broker;1;4.944.509.604.999.990;8.0;Large;42.138.063.030.000.000;black;20.954.897.569.999.900;0
131;46;M;1.0;93;38302;1;1;Rent;80025;03/01/2016;Tuesday;Local;0;0.0;45;Broker;1;3.855.013.775;7.0;Medium;2.377.101.456;silver;3.824.406.703;0
132;32;F;1.0;66;34676;1;0;Own;85060;2/20/2016;Saturday;Highway;0;0.0;8;Broker;0;7.142.277.506;9.0;Compact;1.807.036.651;black;7.337.606.862.000.000;0
133;24;M;0.0;90;31788;0;0;Rent;80035;10/26/2015;Monday;Local;0;0.0;52;Online;1;5.479.042.762;5.0;Compact;3.122.126.205;black;1.896.409.006;0
135;53;F;0.0;86;39701;0;0;Own;15037;7/26/2016;Tuesday;Local;0;0.0;71;Online;0;4.883.245.075;7.0;Medium;1.097.042.287;white;1.726.374.357;0
143;50;F;1.0;66;39150;1;0;Rent;50043;2/22/2015;Sunday;Local;0;1.0;49;Broker;0;61.174.325.770.000.000;2.0;Large;4.360.052.774;black;3.915.452.864;0
145;29;F;0.0;77;33660;1;1;Rent;80002;04/05/2015;Sunday;Parking Lot;0;0.0;96;Online;1;4.027.338.224;3.0;Medium;7.590.862.761;gray;213.658.913;0
146;45;F;0.0;77;38071;0;1;Rent;80022;4/20/2015;Monday;Highway;0;0.0;7;Phone;0;4.728.121.428;2.0;Large;2.146.603.576;black;4.133.213.128;1
147;33;M;1.0;77;34949;1;1;Own;50046;08/12/2015;Wednesday;Local;2;0.0;5;Broker;0;2.920.737.089;12.0;Large;1.042.151.335;other;3.242.111.556;0
148;27;M;1.0;48;32969;1;1;Rent;85022;2/29/2016;Monday;Parking Lot;0;0.0;2;Online;0;3.240.955.927;8.0;Compact;2.224.258.954;red;2.482.496.997;0
149;26;F;1.0;89;32578;1;1;Rent;85062;9/16/2016;Friday;Local;0;1.0;88;Online;0;5.786.168.171;6.0;Medium;9.424.350.725;gray;31.928.541.569.999.900;0
150;26;F;1.0;66;32582;1;0;Rent;15006;3/31/2015;Tuesday;Parking Lot;2;0.0;68;Online;1;4.881.822.384;9.0;Medium;1.431.261.926;other;7.465.359.193.000.000;0
151;34;F;1.0;70;35278;1;1;Own;85034;2/15/2015;Sunday;Local;0;0.0;11;Phone;1;1.036.954.802;8.0;Medium;2.759.656.284;gray;2.741.823.032;0
155;57;F;1.0;93;40426;1;1;Own;50035;7/23/2015;Thursday;Local;1;0.0;22;Online;0;4.440.305.754.999.990;7.0;Compact;1.989.324.245;gray;26.262.494.759.999.900;0
157;26;M;0.0;83;32590;1;0;Rent;50025;3/21/2016;Monday;Local;0;0.0;93;Online;1;5.146.824.903;3.0;Large;16.283.461.330.000.000;other;21.324.447.809.999.900;0
158;28;M;1.0;92;33305;1;0;Rent;80109;10/27/2015;Tuesday;Parking Lot;2;0.0;92;Online;1;3.946.408.329;8.0;Medium;1.931.727.869;red;12.991.255.140.000.000;0
159;51;M;0.0;80;39328;1;0;Rent;15012;3/22/2016;Tuesday;Highway;0;0.0;87;Broker;0;4.062.595.137;7.0;Compact;6.478.250.899.000.000;other;14.135.085.869.999.900;0
160;46;F;1.0;88;38278;1;0;Own;80047;6/15/2015;Monday;Parking Lot;0;0.0;49;Broker;1;1.286.658.045;8.0;Compact;1.582.576.215;black;3.841.100.263;0
161;38;M;1.0;46;36382;0;0;Rent;85037;7/25/2016;Monday;Local;0;1.0;55;Broker;0;3.734.335.783;8.0;Compact;2.189.593.621;red;3.727.835.856;0
162;42;M;1.0;91;37384;0;1;Rent;20152;11/30/2016;Wednesday;Parking Lot;2;0.0;49;Broker;1;8.115.719.809;4.0;Compact;2.104.191.676;gray;32.245.074.930.000.000;0
163;40;F;1.0;59;36891;0;0;Rent;15032;4/22/2015;Wednesday;Local;0;0.0;27;Broker;0;5.450.951.543;6.0;Large;2.628.140.145;gray;3.375.065.411;0
164;22;M;1.0;71;30911;0;0;Rent;15022;4/17/2016;Sunday;Parking Lot;1;1.0;48;Online;0;5.274.634.531.000.000;10.0;Medium;357.247.214;gray;2.027.166.068;0
165;53;M;1.0;57;39692;1;0;Rent;85082;02/04/2015;Wednesday;Local;0;1.0;75;Broker;1;5.768.062.532;3.0;Medium;3.423.830.965;white;3.171.320.335;0
166;56;F;1.0;70;40258;1;1;Rent;15010;7/24/2015;Friday;Parking Lot;0;0.0;99;Broker;1;6.148.332.688;4.0;Large;1.389.645.906;white;35.873.618.760.000.000;0
167;52;M;1.0;86;39526;1;0;Rent;80023;3/25/2015;Wednesday;Local;0;1.0;50;Phone;1;5.204.923.027.000.000;2.0;Compact;3.692.831.072;other;2.164.917.331;0
169;52;F;0.0;78;39514;1;1;Rent;80022;6/15/2015;Monday;Local;1;1.0;4;Broker;1;2.960.049.707;3.0;Compact;1.423.741.558;black;13.561.594.159.999.900;0
171;58;F;0.0;84;40600;0;0;Own;15010;9/27/2015;Sunday;Parking Lot;0;1.0;32;Broker;1;9.126.978.739;8.0;Compact;3.993.319.714;blue;2.557.320.028;0
173;61;M;1.0;40;41114;1;0;Own;15001;09/07/2016;Wednesday;Parking Lot;1;0.0;7;Broker;1;1.118.870.141;7.0;Large;3.633.865.456;white;1.673.027.499;0
175;25;M;1.0;81;32191;1;1;Rent;50052;11/12/2015;Thursday;Local;0;0.0;2;Online;0;1.216.997.259;5.0;Large;1.610.230.298;black;4.735.711.061;0
177;40;M;0.0;69;36890;0;0;Own;85023;10/01/2015;Thursday;Parking Lot;0;0.0;73;Broker;1;425.204.811;4.0;Medium;6.884.202.534;red;4.049.726.609;0
178;45;F;1.0;88;38066;1;1;Own;85024;10/19/2015;Monday;Highway;0;1.0;94;Online;1;33.357.334.920.000.000;7.0;Large;2.331.403.707;blue;1.773.695.324;0
179;57;M;0.0;73;40419;1;1;Own;50013;8/23/2015;Sunday;Highway;0;1.0;39;Phone;0;2.916.523.076;7.0;Medium;1.632.305.884;white;27.329.186.960.000.000;1
180;22;F;1.0;88;30896;0;0;Rent;80027;12/13/2016;Tuesday;Local;0;0.0;98;Phone;0;57.657.997;6.0;Medium;6.051.313.642;black;1.198.334.447;0
182;24;F;1.0;39;31786;1;0;Rent;80101;10/09/2015;Friday;Local;0;0.0;80;Online;1;6.022.258.251;8.0;Compact;8.327.329.294;red;1.702.445.674;0
183;36;F;1.0;96;35828;1;1;Own;50050;12/16/2016;Friday;Parking Lot;0;1.0;84;Broker;1;6.636.546.243;5.0;Compact;1.785.007.776;silver;2.316.510.776;0
185;37;M;1.0;57;36106;1;1;Own;80046;11/05/2015;Thursday;Local;0;1.0;95;Broker;0;2.156.223.939;5.0;Large;1.279.099.136;red;31.471.969.689.999.900;0
186;48;F;1.0;38;38717;1;1;Own;85030;7/21/2015;Tuesday;Highway;1;0.0;0;Broker;1;334.276.429;3.0;Large;185.114.928;gray;13.840.751.409.999.900;0
187;33;M;0.0;77;34962;1;1;Rent;15001;10/22/2016;Saturday;Local;1;0.0;22;Phone;0;3.104.452.494;2.0;Compact;42.454.157.139.999.900;white;2.233.893.711;0
188;54;F;1.0;85;39895;1;1;Own;50022;7/29/2016;Friday;Local;1;0.0;31;Online;1;2.461.691.792;4.0;Medium;9.410.239.639;blue;2.720.335.031;0
189;55;M;1.0;66;40082;1;1;Own;80022;02/03/2016;Wednesday;Local;0;1.0;35;Broker;0;3.029.561.522;5.0;Compact;8.920.516.431.999.990;black;2.435.010.476;0
190;48;M;1.0;98;38696;1;0;Own;85053;1/31/2015;Saturday;Parking Lot;0;1.0;50;Phone;1;2.713.186.754;9.0;Large;1.117.816.212;black;300.780.509;0
193;39;F;1.0;74;36639;1;0;Rent;20104;3/29/2016;Tuesday;Local;1;0.0;43;Phone;1;5.034.105.527.000.000;4.0;Compact;196.995.148;black;484.339.752;1
194;34;M;0.0;64;35268;0;0;Own;50021;5/20/2015;Wednesday;Local;1;1.0;6;Broker;1;4.495.366.963;6.0;Medium;1.668.305.473;other;1.589.594.911;0
195;56;F;1.0;84;40273;1;1;Rent;20118;2/21/2016;Sunday;Local;0;0.0;0;Phone;1;4.958.121.964;7.0;Compact;157.914.311;red;2.126.748.745;0
197;41;F;1.0;84;37138;1;1;Own;15025;11/27/2016;Sunday;Local;0;0.0;87;Phone;0;8.846.651.091;4.0;Medium;169.760.845;other;3.708.279.289;0
199;29;F;1.0;51;33681;1;1;Rent;20135;4/25/2016;Monday;Parking Lot;1;0.0;5;Online;1;211.621.426;2.0;Medium;3.892.134.216;other;1.084.309.725;0
200;46;M;0.0;90;38284;1;0;Rent;15030;4/22/2016;Friday;Local;2;0.0;0;Broker;1;28.173.744.829.999.900;5.0;Large;1.594.827.634;blue;3.656.861.619;0
204;34;F;1.0;71;35264;0;0;Own;20132;2/24/2016;Wednesday;Local;0;1.0;15;Broker;1;7.040.934.617;5.0;Medium;19.299.128.109.999.900;red;1.855.198.922;0
208;55;F;0.0;67;40088;1;1;Own;50054;03/05/2016;Saturday;Local;0;0.0;2;Phone;0;236.916.912;6.0;Compact;2.452.108.786;blue;4.651.624.374;0
209;45;F;1.0;77;38079;1;1;Own;50002;10/01/2015;Thursday;Parking Lot;0;0.0;61;Broker;0;5.703.399.697;2.0;Compact;1.112.372.718;white;15.577.159.119.999.900;0
210;53;F;0.0;63;39696;1;1;Own;50025;01/02/2015;Friday;Highway;0;0.0;79;Online;1;7.317.038.348;2.0;Compact;40.300.982.189.999.900;red;28.176.306.510.000.000;0
211;32;M;1.0;81;34668;1;0;Rent;80110;10/25/2015;Sunday;Highway;2;0.0;49;Phone;1;6.985.534.406.999.990;3.0;Compact;28.568.519.519.999.900;gray;111.010.379;0
213;54;M;1.0;83;39892;1;1;Rent;15006;04/03/2015;Friday;Highway;0;1.0;55;Phone;1;25.611.500.579.999.900;7.0;Medium;4.281.449.844;silver;13.549.108.919.999.900;0
214;40;M;0.0;74;36882;1;0;Rent;80035;7/22/2016;Friday;Local;0;1.0;91;Phone;1;4.953.767.076;2.0;Compact;1.887.734.856;other;27.404.077.119.999.900;0
215;41;F;1.0;68;37133;1;0;Rent;85020;1/14/2016;Thursday;Parking Lot;0;0.0;99;Phone;0;5.914.754.935;7.0;Medium;14.950.520.390.000.000;white;345.414.241;0
216;52;M;1.0;73;39505;1;0;Own;15021;7/28/2015;Tuesday;Local;3;0.0;77;Phone;0;2.275.165.594;8.0;Medium;2.607.425.929;silver;1.617.690.248;0
217;56;M;0.0;86;40266;1;0;Rent;15021;6/14/2015;Sunday;Parking Lot;1;0.0;17;Phone;1;3.968.530.851;10.0;Medium;814.866.297;silver;3.855.639.829;0
219;34;M;0.0;62;35269;1;1;Own;80014;12/31/2015;Thursday;Parking Lot;0;0.0;50;Broker;1;5.789.134.785;5.0;Large;25.412.592.940.000.000;silver;1.575.735.108;0
220;35;M;0.0;56;35553;0;1;Rent;80033;1/21/2016;Thursday;Parking Lot;0;1.0;38;Phone;0;29.796.098.629.999.900;6.0;Large;18.407.653.309.999.900;gray;50.462.450.710.000.000;0
221;36;F;1.0;84;35846;0;0;Rent;15020;08/06/2015;Thursday;Local;1;0.0;39;Broker;1;6.152.627.332.999.990;6.0;Medium;8.370.168.773.000.000;red;2.269.838.452;0
222;38;M;0.0;73;36377;1;0;Rent;80033;04/06/2015;Monday;Local;0;1.0;0;Broker;1;5.629.780.509;4.0;Large;2.410.976.685;black;38.976.462.230.000.000;0
223;52;M;1.0;52;39522;1;0;Own;50040;2/14/2016;Sunday;Local;0;;50;Broker;1;5.772.098.497.999.990;13.0;Large;177.744.215;white;5.646.334.021;0
227;35;M;1.0;82;35546;1;1;Own;50003;2/13/2016;Saturday;Parking Lot;4;0.0;25;Phone;1;4.698.815.476;5.0;Large;1.028.004.144;white;114.688.452;0
228;34;F;1.0;97;35268;1;1;Own;20120;9/15/2016;Thursday;Local;0;0.0;12;Broker;1;16.348.392.509.999.900;3.0;Compact;2.672.672.534;silver;1.724.026.451;1
230;20;M;0.0;71;29954;1;1;Rent;50012;4/16/2015;Thursday;Local;0;1.0;49;Phone;1;343.745.185;7.0;Compact;3.181.219.033;black;1.669.214.338;0
